id,ordernumber,stock,productdescription,quantity,date,price,userid,country
1109,536527,22809,SET OF 6 T-LIGHTS SANTA,6,12/1/2021 13:04,2.95,12662,Vietnam
1110,536527,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,6,12/1/2021 13:04,2.55,12662,Vietnam
1111,536527,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,12,12/1/2021 13:04,0.85,12662,Vietnam
1112,536527,22242,5 HOOK HANGER MAGIC TOADSTOOL,12,12/1/2021 13:04,1.65,12662,Vietnam
1113,536527,22244,3 HOOK HANGER MAGIC GARDEN,12,12/1/2021 13:04,1.95,12662,Vietnam
1114,536527,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,12,12/1/2021 13:04,1.65,12662,Vietnam
1115,536527,47421,ASSORTED COLOUR LIZARD SUCTION HOOK,24,12/1/2021 13:04,0.42,12662,Vietnam
1116,536527,20712,JUMBO BAG WOODLAND ANIMALS,10,12/1/2021 13:04,1.95,12662,Vietnam
1117,536527,20713,JUMBO BAG OWLS,10,12/1/2021 13:04,1.95,12662,Vietnam
1118,536527,22837,HOT WATER BOTTLE BABUSHKA,4,12/1/2021 13:04,4.65,12662,Vietnam
1119,536527,22969,HOMEMADE JAM SCENTED CANDLES,12,12/1/2021 13:04,1.45,12662,Vietnam
1120,536527,22973,CHILDREN'S CIRCUS PARADE MUG,12,12/1/2021 13:04,1.65,12662,Vietnam
1121,536527,84569B,PACK 3 FIRE ENGINE/CAR PATCHES,12,12/1/2021 13:04,1.25,12662,Vietnam
1122,536527,22549,PICTURE DOMINOES,12,12/1/2021 13:04,1.45,12662,Vietnam
1123,536527,POST,POSTAGE,1,12/1/2021 13:04,18,12662,Vietnam
1973,C536548,22244,3 HOOK HANGER MAGIC GARDEN,-4,12/1/2021 14:33,1.95,12472,Vietnam
1974,C536548,22242,5 HOOK HANGER MAGIC TOADSTOOL,-5,12/1/2021 14:33,1.65,12472,Vietnam
1975,C536548,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,-1,12/1/2021 14:33,2.95,12472,Vietnam
1976,C536548,22892,SET OF SALT AND PEPPER TOADSTOOLS,-7,12/1/2021 14:33,1.25,12472,Vietnam
1977,C536548,22654,DELUXE SEWING KIT,-1,12/1/2021 14:33,5.95,12472,Vietnam
1978,C536548,22767,TRIPLE PHOTO FRAME CORNICE,-2,12/1/2021 14:33,9.95,12472,Vietnam
1979,C536548,22333,RETROSPOT PARTY BAG + STICKER SET,-1,12/1/2021 14:33,1.65,12472,Vietnam
1980,C536548,22245,"HOOK, 1 HANGER ,MAGIC GARDEN",-2,12/1/2021 14:33,0.85,12472,Vietnam
1981,C536548,22077,6 RIBBONS RUSTIC CHARM,-6,12/1/2021 14:33,1.65,12472,Vietnam
